Cus_ID,FullName,EmailAddress,Requested_Amount,Emi_Amount,Age,Postal_Code,Applicant_State_Desc,Applicant_City_Desc,Resid_Owned_By_Desc,No_Of_Years_At_Residence,Employment_Type_Desc,Duration_Of_Current_Emp,Years_In_Current_Business,Total_Work_Experience,Car_Register,Product_Name1,Product_Line,Loan_Term,Variant_Code,Manufacturer_Desc,Employment_Type_Desc,application_creation_date,Ex_Showroom_Price,Segment,Segment_Desc,Cost_Of_Vehicle,Average_Bank_Balance,Bureau_score,IRR,insurance_Code
20,Charlie,Charlie1@gmail.com,1198000,40945,40,10240,bangkapi,Bnagkok,SELF,5,SELF EMPLOYED NON-PROFESSIONAL,,20,,กฒ4265,SKODA SUPERB,SKODA SUPERB,36,SKODA SUPERB 1.8,SKODA,SELF EMPLOYED NON-PROFESSIONAL,3/5/2013,1877250,A5,Premium-I,1877250,,836,14.28,100602
21,Clarence,Clarence1@gmail.com,255000,12304,38,10240,bangkapi,Bnagkok,RENTED,3,SELF EMPLOYED NON-PROFESSIONAL,,17,,กฒ7067,FIAT PUNTO,FIAT PUNTO,24,PUNTO DYNAMIC DI,FIAT INDIA LTD,SELF EMPLOYED NON-PROFESSIONAL,3/7/2013,357000,A2,Compact,357000,,763,14.46,100602
22,Richard,Richard1@gmail.com,450000,10630,39,10240,bangkapi,Bnagkok,PARENTS,10,SELF EMPLOYED NON-PROFESSIONAL,,4,,กฒ10060,TATA INDICA,TATA INDICA,36,INDICA DLE STD AC,TATA MOTORS LTD,SELF EMPLOYED NON-PROFESSIONAL,3/13/2013,258750,A2,Compact,258750,,793,23.5,100602
23,Andrew,Andrew1@gmail.com,402000,14850,34,10240,bangkapi,Bnagkok,PARENTS,20,SELF EMPLOYED NON-PROFESSIONAL,,2,,กฒ12815,TATA INDIGO,TATA INDIGO,36,INDIGO CS GLX,TATA MOTORS LTD,SELF EMPLOYED NON-PROFESSIONAL,3/16/2013,335500,A3,Mid-Size,335500,,723,18.3,100602
24,Daniel,Daniel1@gmail.com,365000,12563,47,10240,bangkapi,Bnagkok,PARENTS,25,SELF EMPLOYED NON-PROFESSIONAL,,25,,กฒ11055,INDICA VISTA,INDICA VISTA,36,VISTA TERRA TDI,TATA MOTORS LTD,SELF EMPLOYED NON-PROFESSIONAL,3/18/2013,361250,A2,Compact,361250,,804,14.66,100602
25,Ernest,Ernest1@gmail.com,225000,7785,24,10240,bangkapi,Bnagkok,PARENTS,2,SELF EMPLOYED NON-PROFESSIONAL,,10,,กฒ10777,CHEVROLET SPARK,CHEVROLET SPARK,36,SPARK 1.0 LT,CHEVROLET INDIA LTD,SELF EMPLOYED NON-PROFESSIONAL,3/20/2013,279500,A2,Compact,279500,,789,25.4,100602
27,Will,Will1@gmail.com,1828000,62925,62,10240,bangkapi,Bnagkok,SELF,10,SELF EMPLOYED NON-PROFESSIONAL,,25,,กฒ12420,SKODA SUPERB,SKODA SUPERB,36,SKODA SUPERB 1.8,SKODA,SELF EMPLOYED NON-PROFESSIONAL,3/21/2013,1650000,A5,Premium-I,1650000,,764,14.24,100602
28,Jesse,Jesse1@gmail.com,160000,5507,35,10240,bangkapi,Bnagkok,SELF,2,SELF EMPLOYED NON-PROFESSIONAL,,2,,กฒ13143,MARUTI EECO,MARUTI EECO,36,EECO,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,3/23/2013,224500,MUV,MUV,449000,,843,14.84,100602
30,Oscar,Oscar1@gmail.com,125000,4303,40,10240,bangkapi,Bnagkok,SELF,10,SALARIED,6,,15,กฒ15814,68,HYUNDAI,36,HYNDAI I10 MAGMA,HYUNDAI,SALARIED,3/26/2013,312500,A2,Compact,625000,,752,26,100602
32,Lewis,Lewis1@gmail.com,215000,7940,36,10240,bangkapi,Bnagkok,SELF,5,SELF EMPLOYED NON-PROFESSIONAL,,5,,กฒ5913,MARUTI ALTO,MARUTI ALTO,36,ALTO LX,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,4/9/2013,173000,A2,Compact,173000,,663,11.6,100602
33,Peter,Peter1@gmail.com,300000,10327,38,10240,bangkapi,Bnagkok,SELF,2,SELF EMPLOYED NON-PROFESSIONAL,,10,,กฒ6814,LINEA PL EMOTION,FIAT LINEA PL EMOTION,36,LINEA PL EMOTION,FIAT INDIA LTD,SELF EMPLOYED NON-PROFESSIONAL,4/10/2013,363250,A3,Mid-Size,363250,,593,14.68,100602
34,Benjamin,Benjamin1@gmail.com,495000,9209,47.17,10240,bangkapi,Bnagkok,SELF,8,SELF EMPLOYED NON-PROFESSIONAL,,25,,กฒ7752,HYUNDAI VERNA,HYUNDAI - VERNA,36,VERNA,HYUNDAI,SELF EMPLOYED NON-PROFESSIONAL,4/26/2013,904500,A3,Mid-Size,904500,,652,22.3,100602
35,Frederick,Frederick1@gmail.com,475000,16350,31.42,10240,bangkapi,Bnagkok,SELF,6,SELF EMPLOYED NON-PROFESSIONAL,,5,,กฒ6747,FIGO 1.2L TITANIUM (P),FORD - FIGO 1.2L TITANIUM P,36,FIGO 1.2L TITANIUM P,FORD INDIA,SELF EMPLOYED NON-PROFESSIONAL,5/7/2013,490250,A4,Executive,490250,,749,14.53,100602
36,Willie,Willie1@gmail.com,199000,6850,39.92,10240,bangkapi,Bnagkok,SELF,2,SELF EMPLOYED NON-PROFESSIONAL,,5,,บด8688,MARUTI ZEN,MARUTI - ZEN ESTILLO LXI,36,ZEN ESTILLO LXI,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,5/11/2013,261500,A2,Compact,261500,,731,14.56,100602
38,Alfred,Alfred1@gmail.com,450000,12638,30.92,10240,bangkapi,Bnagkok,SELF,3,SALARIED,3,,3,บด6532,HONDA CITY,HONDA - HONDA CITY 1.3 EXI,48,HONDA CITY 1.3 EXI,HONDA,SALARIED,5/23/2013,612750,A3,Mid-Size,612750,,-1,14.68,100602
39,Sam,Sam1@gmail.com,530000,18243,57.58,10240,bangkapi,Bnagkok,PARENTS,20,SELF EMPLOYED NON-PROFESSIONAL,,7,,บด4265,69,TATA MOTORS - FIAT PUNTO DI,36,FIAT PUNTO DI,TATA MOTORS LTD,SELF EMPLOYED NON-PROFESSIONAL,6/3/2013,467500,A2,Compact,467500,,553,24.4,100602
40,Roy,Roy1@gmail.com,500000,20800,33,10240,bangkapi,Bnagkok,RENTED,9,SELF EMPLOYED NON-PROFESSIONAL,,6,,บด7067,MAHINDRA XYLO,MAHINDRA - XYLO D2 DIESEL AC,36,XYLO D2 DIESEL AC,MAHINDRA,SELF EMPLOYED NON-PROFESSIONAL,7/5/2013,500000,MUV,MUV,500000,,752,15.01,100602
41,Herbert,Herbert1@gmail.com,740000,25470,49.75,10240,bangkapi,Bnagkok,SELF,5,SELF EMPLOYED NON-PROFESSIONAL,,23,,บด10060,HYUNDAI VERNA,HYUNDAI - HYUNDAI VERNA I,36,HYUNDAI VERNA I,HYUNDAI,SELF EMPLOYED NON-PROFESSIONAL,7/2/2013,646500,A3,Mid-Size,646500,,694,14.5,100602
42,Jacob,Jacob1@gmail.com,556750,12050,23.08,10240,bangkapi,Bnagkok,SELF,7,SELF EMPLOYED NON-PROFESSIONAL,,3,,บด12815,HYUNDAI I 20 SPORTZ,HYUNDAI - I 20 SPORTZ,60,I 20 SPORTZ,HYUNDAI,SELF EMPLOYED NON-PROFESSIONAL,7/15/2013,459516,A3,Mid-Size,459516,,781,19.22,100602
43,Tom,Tom1@gmail.com,310000,,35,10240,bangkapi,Bnagkok,,,SELF EMPLOYED NON-PROFESSIONAL,,,,บด11055,SKODA FABIA,SKODA - SKODA FABIA AMB1.2,48,SKODA FABIA AMB1.2,SKODA,SELF EMPLOYED NON-PROFESSIONAL,7/17/2013,,,,502852,,840,14.9,100602
44,Elmer,Elmer1@gmail.com,210000,7228,34.33,10240,bangkapi,Bnagkok,SELF,22,SELF EMPLOYED NON-PROFESSIONAL,,6,,บด10777,HYUNDAI - ACCENT,HYUNDAI - ACCENT,36,ACCENT,HYUNDAI,SELF EMPLOYED NON-PROFESSIONAL,7/17/2013,356312,A3,Mid-Size,356312,,693,14.67,100602
45,Carl,Carl1@gmail.com,149000,,36.08,10240,bangkapi,Bnagkok,,,SELF EMPLOYED NON-PROFESSIONAL,,,,บด12420,MARUTI EECO,MARUTI - EECO,36,EECO,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,7/18/2013,,,,204449,,840,22.6,100602
46,Lee,Lee1@gmail.com,395000,13790,58.58,10240,bangkapi,Bnagkok,SELF,20,SELF EMPLOYED NON-PROFESSIONAL,,2,,บด13143,MARUTI SWIFT,MARUTI - SWIFT VDI,36,SWIFT VDI,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,7/23/2013,522306,A2,Compact,522306,,784,14.13,100602
47,Howard,Howard1@gmail.com,855000,29640,46.08,10240,bangkapi,Bnagkok,SELF,25,SELF EMPLOYED NON-PROFESSIONAL,,10,,บด15814,MAHINDRA SCORPIO,MAHINDRA - SCORPIO,36,SCORPIO,MAHINDRA,SELF EMPLOYED NON-PROFESSIONAL,8/14/2013,613664,MUV,MUV,613664,,808,15.17,100602
48,Martin,Martin1@gmail.com,445000,15425,37.92,10240,bangkapi,Bnagkok,SELF,22,SALARIED,3.6,,3.6,บด5913,VOLKSWAGEN POLO,VOLKSWAGAN - VOLKSWAGEN POLO,36,VOLKSWAGEN POLO,VOLKSWAGAN,SALARIED,8/17/2013,541671,A2,Compact,541671,,802,19.8,100602
49,Michael,Michael1@gmail.com,258000,9007,44.5,10240,bangkapi,Bnagkok,PARENTS,12,SELF EMPLOYED NON-PROFESSIONAL,,7,,บด6814,SWIFT VXI,MARUTI - SWIFT VXI,36,SWIFT VXI,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,9/20/2013,410000,A2,Compact,410000,,857,15.79,100602
50,Bert,Bert1@gmail.com,1160000,40500,48.08,10240,bangkapi,Bnagkok,RENTED,13,SELF EMPLOYED NON-PROFESSIONAL,,10,,บด7752,,TOYOTA - FORTUNER 3.0 L,36,FORTUNER 3.0 L,TOYOTA,SELF EMPLOYED NON-PROFESSIONAL,9/27/2013,1826601,SUV,SUV,1826601,,840,15.23,100602
52,Herman,Herman1@gmail.com,1494500,134540,47,10240,bangkapi,Bnagkok,SELF,5,SELF EMPLOYED NON-PROFESSIONAL,,6,6,บด6747,SKODA LAURA,SKODA - SKODA LAURA,12,SKODA LAURA,SKODA,SELF EMPLOYED NON-PROFESSIONAL,10/9/2013,1067709,A6,Premium-II,1067709,,840,14,100602
53,Jim,Jim1@gmail.com,217000,8000,42.58,10240,bangkapi,Bnagkok,SELF,20,SELF EMPLOYED PROFESSIONAL,,10,,บด8688,MARUTI EECO,MARUTI - EECO,36,EECO,MARUTI,SELF EMPLOYED PROFESSIONAL,10/10/2013,181235,MUV,MUV,181235,,771,22.1,100602
54,Francis,Francis1@gmail.com,350000,,41.25,10240,bangkapi,Bnagkok,SELF,,SALARIED,10,,10,บด6532,FORD FIGO,FORD - FORD FIGO 1.4 ZXI,36,FORD FIGO 1.4 ZXI,FORD INDIA,SALARIED,10/16/2013,,,,421725,,797,25.6,100602
55,Harvey,Harvey1@gmail.com,250000,,23.33,10240,bangkapi,Bnagkok,PARENTS,,SELF EMPLOYED NON-PROFESSIONAL,,,,บด4265,HONDA CITY,HONDA - HONDA CITY 1.3 EXI,48,HONDA CITY 1.3 EXI,HONDA,SELF EMPLOYED NON-PROFESSIONAL,10/26/2013,,,,320958,,800,13.8,100602
56,Earl,Earl1@gmail.com,300000,11226,36.17,10240,bangkapi,Bnagkok,SELF,20,SELF EMPLOYED NON-PROFESSIONAL,,7,7,บด7067,TATA INDIGO,TATA MOTORS - T INDIGO MANZA AQ,36,T INDIGO MANZA AQ,TATA MOTORS LTD,SELF EMPLOYED NON-PROFESSIONAL,10/28/2013,355428,A3,Mid-Size,355428,,733,12.2,100602
58,Eugene,Eugene1@gmail.com,312000,,31.42,10240,bangkapi,Bnagkok,SELF,,SELF EMPLOYED NON-PROFESSIONAL,,,,บด10060,TATA INDIGO,TATA MOTORS - TATA INDIGO LS,36,TATA INDIGO LS,TATA MOTORS LTD,SELF EMPLOYED NON-PROFESSIONAL,10/29/2013,,,,736616,,643,14.4,100602
59,Ralph,Ralph1@gmail.com,250000,9000,23.25,10240,bangkapi,Bnagkok,PARENTS,,SELF EMPLOYED NON-PROFESSIONAL,,10,,บด12815,TATA INDICA,TATA MOTORS - INDICA VISTA,36,INDICA VISTA,TATA MOTORS LTD,SELF EMPLOYED NON-PROFESSIONAL,12/29/2013,350000,A2,Compact,350000,,779,13.27,100602
60,Ed,Ed1@gmail.com,101000,5115,35.5,10240,bangkapi,Bnagkok,PARENTS,15,SALARIED,1,,3,บด11055,MARUTI ESTEEM,MARUTI - ESTEEM VXI,24,ESTEEM VXI,MARUTI,SALARIED,12/16/2013,112434,A2,Compact,112434,,572,18.08,100602
61,Claude,Claude1@gmail.com,250000,15000,43.67,10240,bangkapi,Bnagkok,SELF,,RETIRED,,,,บด10777,MAHINDRA XYLO,MAHINDRA - MAHINDRA XYLO BS-4,48,MAHINDRA XYLO BS-4,MAHINDRA,RETIRED,12/17/2013,458000,A2,Compact,916000,,810,12.6,100602
62,Edwin,Edwin1@gmail.com,223000,6275,59.58,10240,bangkapi,Bnagkok,SELF,5,SELF EMPLOYED NON-PROFESSIONAL,,20,,บด12420,,MARUTI - MARUTI WAGON R,36,MARUTI WAGON R,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,12/20/2013,186215,A2,Compact,186215,,817,23.6,100602
63,Ben,Ben1@gmail.com,4300000,158000,48.42,10240,bangkapi,Bnagkok,SELF,6,SELF EMPLOYED NON-PROFESSIONAL,,10,,บด13143,LAND ROVER FREELANDER,LAND ROVER - FREELANDER 2SE,36,FREELANDER 2SE,LAND ROVER,SELF EMPLOYED NON-PROFESSIONAL,7/7/2014,4300000,SUV,SUV,4300000,37210.5,661,17.77,100602
64,Charley,Charley1@gmail.com,250000,9000,23.25,10240,bangkapi,Bnagkok,PARENTS,,SELF EMPLOYED NON-PROFESSIONAL,,10,,บด15814,TATA INDICA,TATA MOTORS - INDICA VISTA,36,INDICA VISTA,TATA MOTORS LTD,SELF EMPLOYED NON-PROFESSIONAL,12/29/2013,350000,A2,Compact,350000,,779,16.8,100602
65,Paul,Paul1@gmail.com,270000,9965,38.92,10240,bangkapi,Bnagkok,PARENTS,35,SELF EMPLOYED NON-PROFESSIONAL,,6,,บด5913,TATA INDICA,TATA MOTORS - INDICA VISTA,36,INDICA VISTA,TATA MOTORS LTD,SELF EMPLOYED NON-PROFESSIONAL,12/30/2013,360058,A2,Compact,360058,,803,18.55,100602
66,Edgar,Edgar1@gmail.com,167000,6238,30.58,10240,bangkapi,Bnagkok,SELF,25,SELF EMPLOYED NON-PROFESSIONAL,,7,,บด6814,MARUTI WAGON R,MARUTI - WAGON -R VXI,36,WAGON -R VXI,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,1/2/2014,199638,A2,Compact,199638,,675,26,100602
67,Isaac,Isaac1@gmail.com,250000,8363,43.75,10240,bangkapi,Bnagkok,PARENTS,40,SELF EMPLOYED NON-PROFESSIONAL,,3,,บด7752,XYLO E8,MAHINDRA - XYLO E8,36,XYLO E8,MAHINDRA,SELF EMPLOYED NON-PROFESSIONAL,1/3/2014,455914,MUV,MUV,911828,,813,16,100602
69,Otto,Otto1@gmail.com,400000,13866,57.92,10240,bangkapi,Bnagkok,SELF,20,SELF EMPLOYED NON-PROFESSIONAL,,15,,บด6747,MAHINDRA BOLERO,MAHINDRA - BOLERO DI 2WD,36,BOLERO DI 2WD,MAHINDRA,SELF EMPLOYED NON-PROFESSIONAL,1/3/2014,348922,MUV,MUV,348922,,827,13.7,100602
70,Luther,Luther1@gmail.com,335000,8728,38.5,10240,bangkapi,Bnagkok,SELF,10,SELF EMPLOYED NON-PROFESSIONAL,,13,,บด21,TATA INDICA,TATA MOTORS - INDICA VISTA A TDI,36,INDICA VISTA A TDI,TATA MOTORS LTD,SELF EMPLOYED NON-PROFESSIONAL,1/6/2014,388764,A2,Compact,388764,,737,15.55,100602
72,Lawrence,Lawrence1@gmail.com,500000,18500,61.42,10240,bangkapi,Bnagkok,SELF,20,SELF EMPLOYED NON-PROFESSIONAL,,20,,บด1,TOYOTA LIVA,TOYOTA - TOYOTA LIVA ED G,36,TOYOTA LIVA ED G,TOYOTA,SELF EMPLOYED NON-PROFESSIONAL,1/7/2014,416565,A2,Compact,416565,,780,22.1,100602
74,Ira,Ira1@gmail.com,500000,17455,46.08,10240,bangkapi,Bnagkok,SELF,2,SELF EMPLOYED NON-PROFESSIONAL,,18,,บด211,HONDA CITY,HONDA - HONDA CITY 1 5 EMT,36,HONDA CITY 1 5 EMT,HONDA,SELF EMPLOYED NON-PROFESSIONAL,1/18/2014,478731,A3,Mid-Size,478731,,739,16,100602
76,Patrick,Patrick1@gmail.com,351000,9202,34.92,10240,bangkapi,Bnagkok,SELF,18,SELF EMPLOYED NON-PROFESSIONAL,,20,,บด2,FORD FIGO,FORD - FORD FIGO 1.2 ZXI,60,FORD FIGO 1.2 ZXI,FORD INDIA,SELF EMPLOYED NON-PROFESSIONAL,1/20/2014,292926,A2,Compact,292926,,791,19.53,100602
77,Guy,Guy1@gmail.com,444000,15500,48.5,10240,bangkapi,Bnagkok,SELF,18,SELF EMPLOYED NON-PROFESSIONAL,,4,,บด3,VOLKSWAGAN POLO,VOLKSWAGAN - POLO HIGHLINE 1.2,36,POLO HIGHLINE 1.2,VOLKSWAGAN,SELF EMPLOYED NON-PROFESSIONAL,1/21/2014,560000,A2,Compact,560000,,712,15.26,100602
78,Oliver,Oliver1@gmail.com,200000,5980,24.08,10240,bangkapi,Bnagkok,PARENTS,15,SELF EMPLOYED NON-PROFESSIONAL,,10,,บด4,TATA INDICA,TATA MOTORS - INDICA VISTA,48,INDICA VISTA,TATA MOTORS LTD,SELF EMPLOYED NON-PROFESSIONAL,1/21/2014,416165,A2,Compact,416165,,800,16.3,100602
79,Theodore,Theodore1@gmail.com,292000,7575,36.58,10220,Bang Khen,Bnagkok,SELF,7,SALARIED,15,,15,บด5,MARUTI ALTO,MARUTI - ALTO K 10 LXI,60,ALTO K 10 LXI,MARUTI,SALARIED,1/22/2014,243495,A2,Compact,243495,,740,18.77,100501
80,Hugh,Hugh1@gmail.com,210000,7331,36.58,10220,Bang Khen,Bnagkok,PARENTS,4,SELF EMPLOYED NON-PROFESSIONAL,,4,,บด6,MARUTI WAGON R,MARUTI - WAGON R DEO LXI,36,WAGON R DEO LXI,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,1/28/2014,306468,A2,Compact,306468,,741,26,100501
81,Clyde,Clyde1@gmail.com,365000,9468,32.42,10220,Bang Khen,Bnagkok,RENTED,2,SALARIED,3.1,,6.2,บด7,HYUNDAI VERNA,HYUNDAI - VERNA CRDI VGT,60,VERNA CRDI VGT,HYUNDAI,SALARIED,1/30/2014,430133,A3,Mid-Size,430133,,741,18.17,100501
82,Alexander,Alexander1@gmail.com,104000,3812,42.67,10220,Bang Khen,Bnagkok,PARENTS,17,SALARIED,0.11,,0.11,บด8,CHEVY SPARK,CHEVROLET - CHEVY SPARK 1.0 PS,36,CHEVY SPARK 1.0 PS,CHEVROLET INDIA LTD,SALARIED,2/3/2014,149264,A2,Compact,149264,,-1,16.4,100501
83,August,August1@gmail.com,4600000,89287,44.33,10220,Bang Khen,Bnagkok,SELF,,SELF EMPLOYED NON-PROFESSIONAL,,10,,บด9,MERC BENZ,MERCEDEZ BENZ - MERC BENZ C220 CDI,60,MERC BENZ C220 CDI,MERCEDEZ BENZ,SELF EMPLOYED NON-PROFESSIONAL,2/12/2014,2868754,A6,Premium-II,2868754,,808,18.55,100501
84,Floyd,Floyd1@gmail.com,587000,12300,51.92,10220,Bang Khen,Bnagkok,SELF,10,SELF EMPLOYED NON-PROFESSIONAL,,35,,บด10,MARUTI RITZ,MARUTI - RITZLDI,48,RITZLDI,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,2/19/2014,485000,A2,Compact,485000,,817,15.7,100501
85,Homer,Homer1@gmail.com,404000,16190,43.25,10220,Bang Khen,Bnagkok,PARENTS,2,SELF EMPLOYED NON-PROFESSIONAL,,13,,บด11,SAFARI LX 2.2,TATA MOTORS - SAFARI LX 2.2,32,SAFARI LX 2.2,TATA MOTORS LTD,SELF EMPLOYED NON-PROFESSIONAL,2/21/2014,336770,MUV,MUV,336770,,800,24.4,100501
86,Jack,Jack1@gmail.com,921000,33700,65.58,10220,Bang Khen,Bnagkok,SELF,25,SELF EMPLOYED NON-PROFESSIONAL,,40,,บด13,Maruti Suzuki Ertiga LDi,MARUTI - Maruti Suzuki Ertiga,36,Maruti Suzuki Ertiga,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,2/22/2014,775236,A3,Mid-Size,1550472,,605,18.34,100501
